Row Labels;7 Days to Die;AdVenture Capitalist;Age of Empires II HD Edition;APB Reloaded;ARK Survival Evolved;Arma 2 Operation Arrowhead;Arma 3;Assassin's Creed IV Black Flag;Baldur's Gate II Enhanced Edition;Battlefield Bad Company 2;BioShock Infinite;Borderlands;Borderlands 2;Call of Duty Black Ops;Call of Duty Black Ops - Multiplayer;Call of Duty Black Ops II - Multiplayer;Call of Duty Ghosts - Multiplayer;Call of Duty Modern Warfare 2;Call of Duty Modern Warfare 2 - Multiplayer;Call of Duty Modern Warfare 3;Call of Duty Modern Warfare 3 - Multiplayer;Chivalry Medieval Warfare;Clicker Heroes;Counter-Strike;Counter-Strike Condition Zero;Counter-Strike Global Offensive;Counter-Strike Source;Crusader Kings II;DARK SOULS II;Dark Souls Prepare to Die Edition;Day of Defeat Source;DayZ;DC Universe Online;Deus Ex Human Revolution;Don't Starve;Dota 2;Dungeon Defenders;Empire Total War;Euro Truck Simulator 2;Europa Universalis IV;Fallout 4;Fallout New Vegas;Far Cry 3;FINAL FANTASY XIV A Realm Reborn;Football Manager 2009;Football Manager 2010;Football Manager 2011;Football Manager 2012;Football Manager 2013;Football Manager 2014;Football Manager 2015;Garry's Mod;Grand Theft Auto IV;Grand Theft Auto V;H1Z1;Half-Life 2;Half-Life 2 Deathmatch;Just Cause 2;Kerbal Space Program;Killing Floor;Left 4 Dead;Left 4 Dead 2;Medieval II Total War;METAL GEAR SOLID V THE PHANTOM PAIN;Might & Magic Heroes VI;Mount & Blade Warband;Napoleon Total War;Neverwinter;Path of Exile;PAYDAY 2;PlanetSide 2;Portal 2;Rising Storm/Red Orchestra 2 Multiplayer;Robocraft;Rocket League;Rust;Saints Row The Third;Sid Meier's Civilization IV Beyond the Sword;Sid Meier's Civilization V;Space Engineers;Star Trek Online;Starbound;Stronghold Kingdoms;Team Fortress 2;Terraria;The Binding of Isaac;The Binding of Isaac Rebirth;The Elder Scrolls V Skyrim;The Witcher 3 Wild Hunt;Tom Clancy's Ghost Recon Phantoms - NA;Torchlight II;Total War ROME II - Emperor Edition;Total War SHOGUN 2;Trove;Unturned;War Thunder;Warframe;Warhammer 40,000 Dawn of War II;XCOM Enemy Unknown
201512283;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201533036;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201576436;;;;;;;;;;;;;;;;;;;;;;;;;;21;;;;;;;;;;2,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201600354;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;;;;;;;;;;;0,3;;;;
201634197;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201656921;;;;;75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;208;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,9;;;
201678836;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;650;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201680419;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;475;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201697182;;;;;;;;;;;;;;;;;;;;;;;;;;76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201708562;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201713909;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;401;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201728484;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8,7;;;;;;;;;;;;;;;
201737586;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,7;;;;;;;;5,8;;;;;;;;;;;;;;;1,2;;;;;;;;;0,7;;;;;
201743677;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201757829;;;;;;21;;;;;;;;;;;;;;;;;;;;338;;;;;;;;;;69;;;21;;;;;;;;;;;;;;21;;;;;;;;;6,8;;;;75;;17,4;;33;;;;;;;;;11,3;;;;;27;;;;;;;;;;3,7;13,5;;;;
201761030;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201763859;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;448;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201768926;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;79;;;;;;;;;;;;;;;
201777630;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201793161;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;403;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201800994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,1;;;;
201816765;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,2;124;;;;
201889336;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201895745;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,5;;;;;;;;;;;;;;;;76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201912254;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201929912;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201974556;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,7;;;;;;;;;;;31;;;;
201977954;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201978799;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,6;;;;;;;;;;;;;;;;;;;;;;;;3;0,2;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;178;4,1;;;;;;
201990605;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;271;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201991644;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;
202011768;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202014107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202017729;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202043465;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37;;;;;;;;;;;;;;;
202057920;;;;;;;;;;;;;;;;;;;;;;;;;;;7,4;;;;;;;;;;;;;;;;;;;;;;;;;;;52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202092286;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202128053;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202139066;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202140315;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202140438;;;;0,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,6;;;;;;0,5;;;;1,1;7,9;;;;
202160057;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202160372;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;245;;;;;;;;;;;;;;;
202174504;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;;;;;;;;;;;;;;;
202195289;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19,6;;;;;;;;;;;;;;;;;;;;;23;;;;
202239376;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202287486;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1323;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202329485;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202337908;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202340310;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202347606;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202366002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,1;;;;;;;;;;;;;;;
202395275;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202409306;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202427012;;;;;;;;;;;;;;;;;;;;;;;;;;6,3;;;;;;;;;;31;;;;;;;;;;;;;;;;;;84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,3;;;;;;;;;0,1;;
202465473;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;497;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202465494;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202480747;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,7;;;;;;;;;;;;;;;
202491399;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2041;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,9;;;;;;4,4;;;
202516861;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202557205;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202585832;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202586399;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202595940;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202598205;;;;;;;;;;;;;;;;;;;;;;;;;;2,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;499;;;;;;;;;;;1,7;;;;
202600291;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202618978;;;3,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202620479;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;302;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202625117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;541;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202700286;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202705453;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1441;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202706694;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;128;;;;;;;;;;;;;;;;;;;;;;;;;
202738708;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;446;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202759236;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;749;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202760244;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202764759;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202775025;;;;;;;;;;;;;;;;;;8,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202843172;;;;;;;;;;;11,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,7;;;;;;;;;;;
202846415;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202894728;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,3;;;;;;;;;;;;;;;
202906277;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202906503;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202949952;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203058502;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;116;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203086587;;;;;;;;;;;;;;;;;;;;;;;;;;28;;;;;;;;;;580;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27;;;;;;;;;;;0,3;;;;
203092936;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,1;;;;84;;;;;;;;;;;
203101149;;;;;;;;;;;;;;;;;;;;;;;0,2;;;7,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;;;;;;;;;;;;;;;
203103090;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203114983;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,5;;;;;;;;;;;;;;;
203123715;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203153814;;;;;;136;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203222843;;;;;;;;;;;;;;;;;;;;;;;;;;302;;;;;;;;;;170;;;;;;;;;;;;;;;;;;;;;;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203238341;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203332508;;;;1,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203370502;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203373557;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203377807;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203401879;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203414979;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203422894;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;379;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203440072;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,6;;;;
203450693;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203494117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203631881;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203643703;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203650036;;;;;;;;;;;;;;;;;;;;;;;;;;;116;;;;;;;;;5,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203712998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;582;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203729080;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203735948;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17,8;;;;;;;;;;;;;;;
203745259;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203746661;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2223;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203765587;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12,3;;;;;;;;;;;;;;;;;7,6;;12,1;;;25;;;;;;;;;0,1;73;8,6;;;;;;;;;;2,8;;11;;
203800963;;;;;;29;744;;;;;;;;;;;;;;;;;4,3;;266;;;;;;8,3;;;;;;;70;;;;;;;;;;;;;;5,6;;31;;;;;;;0,9;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;2,1;;;1;6;;;
203813088;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203822193;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;332;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203831787;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;;;;;;;;;;;;;;;;;;;;;3,2;;;;
203838394;;;;3,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,8;;;;;;;;;;0,2;;;;;;;;;;30;97;22;;;
203950540;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203968405;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,8;0,2;;;;
203986235;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
